# Constructed from biom file
#OTU ID	ERR537638	ERR537639	ERR537640	ERR537641	ERR537642	ERR537643	ERR537644	ERR537646	ERR537648	ERR537649	ERR537650	ERR537651	ERR537652	ERR537653	ERR537654	ERR537655	ERR537656	ERR537657	ERR537658	ERR537659	ERR537660	ERR537661	ERR537662	ERR537663	ERR537664	ERR537665	ERR537666	ERR537667	ERR537668	ERR537669	ERR537670	ERR537671	ERR537672	ERR537674	ERR537675	ERR537676	ERR537677	ERR537678	ERR537679	ERR537680	ERR537681	ERR537682	ERR537683	ERR537684	ERR537685	ERR537686	ERR537687	ERR537688	ERR537690	ERR537691	ERR537692	ERR537693	ERR537694	ERR537696	ERR537697	ERR537698	ERR537699	ERR537700	ERR537701	ERR537702	ERR537703	ERR537704	ERR537705	ERR537706	ERR537707	ERR537708	ERR537709	ERR537710	ERR537711	ERR537712	ERR537713	ERR537714	ERR537715	ERR537716	ERR537717	ERR537718	ERR537719	ERR537720	ERR537721	ERR537722	ERR537723	ERR537724	ERR537725	ERR537726	ERR537727	ERR537728	ERR537729	ERR537730	ERR537731	ERR537732	ERR537733	ERR537734	ERR537735	ERR537736	ERR537737	ERR537738	ERR537739	ERR537740	ERR537741	ERR537742	ERR537743	ERR537744	ERR537745	ERR537746	ERR537747	ERR537748	ERR537749	ERR537750	ERR537751	ERR537752	ERR537753	ERR537754	ERR537755	ERR537756	ERR537757	ERR537758	ERR537759	ERR537760	ERR537761	ERR537762	ERR537763	ERR537764	ERR537765	ERR537766	ERR537767	ERR537768	ERR537769	ERR537770	ERR537771	ERR537773	ERR537774	ERR537775	ERR537776	ERR537777
Unassignable;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000127877237852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.51230139353e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unclassified;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000143232275006	0.0	0.0	0.0	0.000185437013228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000249078409883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000127877237852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.43618778014e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000119990400768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000164374554819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000108383460684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;Other	0.00578716107598	0.00532236603363	0.00360932649968	0.00206043956044	0.00455205172186	0.00561654327291	0.00269687162891	0.00504722762997	0.00352477710968	0.00685264123455	0.00277718436232	0.00322465066284	0.00345075485262	0.00275793791104	0.00510450808662	0.00401710509265	0.00680631731976	0.00661738824358	0.00635838150289	0.00999609908328	0.00802100740033	0.00274008350731	0.0116648044693	0.0137288551115	0.00921003832365	0.0133452754142	0.00944548489537	0.00737521401291	0.00282485875706	0.00707089668982	0.00672884743504	0.00953687821612	0.0133022946458	0.00924752032217	0.00944017563117	0.00904686861612	0.0128126371215	0.00909090909091	0.00700690751876	0.00589248481552	0.0169630803545	0.0118561323105	0.00835136086935	0.00484953165482	0.00805608511162	0.0204952194165	0.0136449302676	0.0264505718094	0.00803510070307	0.00667055478603	0.0096547314578	0.0130229529546	0.00935392647379	0.00322803781416	0.0121734719757	0.0113057948316	0.0116043119848	0.010965808473	0.0070757836265	0.0125713779824	0.00826138731765	0.00596379126731	0.0110579796772	0.0105213493749	0.0150219987429	0.0186187141948	0.0111226073461	0.0109364814949	0.00639880094541	0.00946549975585	0.0178652047727	0.00621999456505	0.0220973206036	0.00923018365211	0.013733233714	0.00677945764339	0.00352112676056	0.00425604358189	0.00628252316284	0.0076893502499	0.0121123464014	0.00707042139712	0.00702740688686	0.00667686743636	0.016754727475	0.00410966616	0.0137964537284	0.00391780011827	0.00183131549496	0.00826224822473	0.00100722834459	0.013589691967	0.013	0.000916403624885	0.0102575537964	0.00821872774095	0.00820977821345	0.00385164051355	0.00522466039707	0.0167895531669	0.0104503607863	0.0102001645188	0.0355527201021	0.00711938663746	0.00747266099635	0.0155416730154	0.00687239807044	0.000804397372302	0.00848960973137	0.0320958743715	0.0247148288973	0.0121346205417	0.0253108348135	0.000135290536427	0.000523759641939	0.0127431254192	0.0188182451793	0.00423113356489	0.00737953986398	0.00563349166022	0.0212148568481	0.0100254701133	0.0109982486865	0.00832593250444	0.00728351766927	0.0112303355461	0.00448308653716	0.000958530925235	0.00124057165542	0.0113577362409	0.00355351170569	0.0144169835234	0.000326264274062	0.000522125048949
k__Bacteria;p__Actinobacteria	0.0293108991534	0.0225595742107	0.0565942395149	0.00334821428571	0.0215727668558	0.0432729129436	0.0595623362614	0.0401615112842	0.0173474324418	0.0219068688286	0.0405362102115	0.00107488355428	0.023148813803	0.0359946255569	0.0500779109129	0.00868213036154	0.0475781404877	0.0445617740232	0.00520231213873	0.0304271503803	0.00128909047505	0.0421450939457	0.00286033519553	0.0207158617308	0.00686116948943	0.00179131213614	0.00488559563553	0.00375345713157	0.0650423728814	0.0193354608598	0.00246502331779	0.00377358490566	0.0006096885046	0.00238645685733	0.00236004390779	0.00326854608066	0.00658183413778	0.0016862170088	0.0312080703672	0.00154111141329	0.00974349944239	0.00318820364651	0.00181113850179	0.00119577492859	0.00270586064818	0.0322628095121	0.00120618168112	0.0183820949975	0.00523338795792	0.0556608587884	0.000959079283887	0.00122090183949	0.007976216373	0.00207516716624	0.000443824499112	0.00137039937353	0.0244768547876	0.000749216727966	0.0214257373363	0.00416094905051	0.0133968442989	0.000496982605609	0.00249053596334	0.0250530785563	0.00201131363922	0.0497029492892	0.000969994826694	0.00275222713117	0.0134893641552	0.000976599181159	0.000515962592712	0.00377426854676	0.000923929781337	0.0115615186983	0.000960614793468	0.00551955843533	0.0491603466956	0.001645670185	0.0354105850996	0.00153787004998	0.00175541252194	0.000242414447901	0.00117123448114	0.0297677006538	0.00201612903226	0.155773236503	0.00344911343211	0.00576581904199	0.0303693152915	0.00093787682551	0.00154046687996	0.0248137708879	0.0	0.145300885857	0.00189541754934	0.0199989041696	0.102377159662	0.0137660485021	0.0406030750858	0.0333126054899	0.0011818860413	0.00389361118728	0.0013919498898	0.0675657174151	0.0091737545565	0.0583574584794	0.00218066477235	0.0378737096125	0.0196401419159	0.00392589021282	0.00145901494385	0.012335746849	0.00138148806	0.0268551714808	0.000333301590325	0.0077502049333	0.0450708588244	0.00252604988949	0.014759079728	0.035568319894	0.000773794170751	0.000650300764103	0.0015411558669	0.0281971580817	0.00465335851093	0.066154405747	0.0010188833039	0.0527192008879	0.0169710202461	0.000778816199377	0.0147017837235	0.000528094634559	0.0513866231648	0.000326328155593
k__Bacteria;p__Bacteroidetes	0.581020255064	0.47471876134	0.55359849852	0.711881868132	0.602915951973	0.504212407455	0.479734936046	0.53630398731	0.581035316884	0.493336211083	0.572901089511	0.712289501971	0.651976994968	0.612898663461	0.53248079093	0.79143449527	0.633317914492	0.604927842309	0.589450867052	0.518968207529	0.712198615421	0.670407098121	0.621318435754	0.413765628831	0.53065891952	0.522973578146	0.492305186874	0.559199262479	0.649435028249	0.506476440773	0.531112591606	0.509914236707	0.54511694934	0.516518756059	0.614983534577	0.741084456896	0.507240017552	0.508137829912	0.526412562739	0.494878070891	0.559840347479	0.381637939623	0.65034965035	0.427888128612	0.43066232089	0.496494238784	0.532303053147	0.58387707851	0.612147803563	0.552453160312	0.653772378517	0.569835585219	0.352186208397	0.583275689801	0.649125031702	0.596662098669	0.516550412175	0.524043045907	0.604483533924	0.525076357842	0.52470973504	0.576925807597	0.569336521219	0.542344892663	0.46253928347	0.464353914704	0.576435592344	0.452089519809	0.701331642359	0.619727303459	0.602063850371	0.592107249615	0.561287342162	0.660814539918	0.499662005906	0.566954643629	0.575839653304	0.495233231188	0.610293184414	0.81568627451	0.572322995904	0.478889741829	0.646287186695	0.461677562943	0.484913793103	0.320497663683	0.577605052222	0.488468361916	0.245192796826	0.402304497343	0.585969901647	0.35146970002	0.375956521739	0.0467874961817	0.202363697179	0.507698208317	0.394375689254	0.472967189729	0.525227645917	0.557875099938	0.548084100523	0.48971757609	0.536248695047	0.571125410734	0.607108140948	0.169358525065	0.550386572391	0.0143450864727	0.687404967055	0.183828087334	0.324387655849	0.445159560204	0.289569765147	0.00128526009606	0.177173602514	0.618749534242	0.45984666615	0.535585727818	0.579221530893	0.747100408704	0.483943770957	0.507017829079	0.663677758319	0.524977797513	0.55078230375	0.357233791034	0.78583072952	0.0374836040763	0.639837236999	0.411799065421	0.557761984392	0.477608787495	0.00239260467645	0.116760214071
k__Bacteria;p__Cyanobacteria	0.000803772371664	0.000483851457603	0.000360932649968	0.000343406593407	0.00092360469719	0.000127648710748	0.000385267375559	0.000144206503713	0.000760246043265	0.000161873414989	0.000160222174749	0.000358294518094	0.000215672178289	0.0	0.000268658320348	0.00019437605287	0.000528646005419	0.00204153467089	0.00173410404624	0.000536376048371	0.0	0.00313152400835	0.000134078212291	0.000980632507968	0.000432686364198	0.000179131213614	0.000814265939256	0.000329250625576	0.000141242937853	0.000876040297854	0.000399733510993	0.000205831903945	0.000997672098437	0.000969498098292	0.000987925356751	0.00023346757719	0.000175515577007	0.00241935483871	0.000149083138697	0.0	0.0	0.00044834113779	0.000100618805655	0.0	0.0	0.00029418975239	0.000527704485488	0.000982249351014	0.00105725009251	0.0	0.0	0.0	0.00130519904285	0.000461148259165	0.0	9.7885669538e-05	0.00494610019023	0.000885437951233	0.000132257637879	0.000442654154309	0.00148853825543	0.00248491302804	0.0	0.000377447511205	0.000377121307354	0.000159134309357	0.000258665287118	0.000144854059535	0.00028823427682	0.000150246027871	0.000322476620445	0.000241553186992	0.0	0.00047578266248	0.000213469954104	0.000179985601152	0.000947995666306	0.000226988991034	0.00120573676863	0.00238369857747	0.000994733762434	0.000323219263868	9.36987584914e-05	0.000208652107386	0.000486651835373	0.000281483983561	0.000340053436969	0.00236546422235	0.0	8.93216024295e-05	0.0	0.000654318502114	0.000739130434783	0.000509113124936	0.000334485449883	0.000109583036546	0.0	0.000499286733238	0.00089565606807	0.00390867904415	0.00105747698432	0.000109679188374	0.000521981208676	0.0	0.00473876063183	0.000152369343288	0.00535254080486	0.000268132457434	0.000126710593006	0.0	0.000486338314617	0.00107267363905	0.000789421748569	0.000135290536427	0.0	0.0	0.0	0.00284180612567	0.00079583273043	0.00414227327958	0.00135413979881	0.000108383460684	0.000700525394046	0.000388543516874	0.00330455894254	9.09338910612e-05	0.0125662274148	0.000554938956715	0.0	0.0	0.000278706800446	0.000580904098014	0.000108754758021	0.000130531262237
k__Bacteria;p__Deferribacteres	0.000375093773443	0.00151203580501	0.000433119179961	0.00128777472527	0.0109513128381	0.000574419198366	0.00254276467869	0.000360516259283	0.000829359319925	0.00291372146981	0.000801110873745	0.000119431506031	0.000431344356578	0.0	0.00311643651604	0.000259168070494	0.00257714927642	0.0137979584653	0.00578034682081	0.0208699044275	0.000238720458343	0.00691544885177	0.00107262569832	0.00312576611915	0.000865372728397	0.00618002686968	0.0451917596287	0.000790201501383	0.00162429378531	0.0035667354984	0.00939373750833	0.00500857632933	0.00327014743377	0.000372883883959	0.000384193194292	0.00338527986926	0.00614304519526	0.00630498533724	0.00954132087661	0.00444202701478	0.0211304807184	0.0289429112285	0.000100618805655	0.0118913173454	0.0143902589017	0.0217700416769	0.00844327176781	0.00217498070582	0.000528625046255	0.00138514252388	0.00166240409207	0.00325573823865	0.000942643753172	0.00407347628929	0.00158508749683	0.00381754111198	0.0244768547876	0.0185260863643	0.000264515275757	0.0330662653269	0.0355016373921	0.00901668441605	0.01494321578	0.0290634583628	0.0116279069767	0.00604710375557	0.033755819969	0.0055768812921	0.00443880786303	0.00867670810953	0.00831989680748	0.000996406896343	0.00461964890668	0.00575697021601	0.00405592912798	0.00587952963763	0.000609425785482	0.0372829417773	0.0018403350679	0.000153787004998	0.0272674078408	0.0484424871722	0.00829234012649	0.0227430797051	0.023637374861	0.00315262061589	0.00840417779937	0.0623891188646	0.105097161461	0.0193827877272	0.021388790141	0.0335212401852	0.0184782608696	0.0016291619998	0.048444642658	0.00290395046847	0.0043499571131	0.000285306704708	0.00164203612479	0.00550768410767	0.00199054491167	0.000658075130244	0.00643776824034	0.00547645125958	0.00224787363305	0.00038092335822	0.0466530099782	0.0477946105376	0.00171059300558	0.101591018665	0.00977097886639	0.0370072405471	0.0821492007105	0.0	0.0	0.00424770847306	0.0140168822117	0.00852541837701	0.00665605556359	0.000276151551972	0.0159272633479	0.0130602070124	0.00119089316988	0.0196492007105	0.00741839762611	0.000909338910612	0.00360005434044	0.0320351125013	0.0	0.00954049844237	0.0240384615385	0.00866075200676	0.0	0.0
k__Bacteria;p__Firmicutes	0.353713428357	0.461654771985	0.344185375009	0.249570741758	0.332827549809	0.404901710493	0.329249499152	0.382435647848	0.375077752436	0.447795823666	0.322634052553	0.241550220948	0.279079798706	0.317092143413	0.367793240557	0.172865103019	0.285336681425	0.28489968321	0.374132947977	0.397259606007	0.259727858677	0.249021398747	0.338636871508	0.488967884285	0.421251081716	0.440931482311	0.424639687322	0.388844988805	0.239618644068	0.410862899693	0.436242504997	0.45063464837	0.409710675091	0.443582668357	0.348298572997	0.221385630071	0.441421676174	0.445894428152	0.400039755504	0.472305321367	0.368316018078	0.536066553751	0.31423253006	0.529728293363	0.511407662505	0.406668301054	0.420580474934	0.348558198274	0.339218692182	0.369504993803	0.32141943734	0.395979163275	0.60118918135	0.379601875336	0.329127567842	0.362568519969	0.398541534559	0.423375561913	0.338116651237	0.380771103537	0.388061923191	0.387930422435	0.385833831441	0.357867421562	0.479132620993	0.440218544452	0.351202793585	0.506627073224	0.247881478065	0.351237651655	0.346662366978	0.372595790936	0.399445642131	0.293986107146	0.46764151279	0.35313174946	0.330037919827	0.445522642152	0.316537631679	0.148942714341	0.373025160913	0.450325239384	0.306910283439	0.451592711086	0.445564516129	0.470584923718	0.371775564732	0.424748669426	0.606368908332	0.554999776696	0.364438914563	0.539057781357	0.581347826087	0.331992668771	0.724774222321	0.400635581612	0.466609484132	0.470185449358	0.392595909837	0.338989073465	0.427158497139	0.479462571977	0.389397981673	0.3143483023	0.322964763062	0.714688404693	0.356703892156	0.833087545247	0.25380131779	0.660376058957	0.615748518879	0.455417001877	0.573662916913	0.65582087533	0.569850490429	0.317162232655	0.439247270193	0.407009788443	0.341629286644	0.146636474097	0.467694093371	0.457324012356	0.300665499124	0.381494227353	0.396412193148	0.518368645994	0.180138568129	0.66128544042	0.197002778881	0.513888888889	0.34364548495	0.456960287283	0.564600326264	0.52917373711
k__Bacteria;p__Fusobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.43618778014e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.36987584914e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000268132457434	0.0	0.0	0.0	0.0	0.0	0.000135290536427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
