	ERR537662	ERR537694	ERR537741	ERR537646	ERR537765	ERR537762	ERR537709	ERR537641	ERR537746	ERR537693	ERR537665	ERR537748	ERR537723	ERR537707	ERR537700	ERR537648	ERR537724	ERR537650	ERR537773	ERR537718	ERR537674	ERR537682	ERR537757	ERR537750	ERR537685	ERR537774	ERR537657	ERR537659	ERR537711	ERR537735	ERR537759	ERR537732	ERR537716	ERR537725	ERR537649	ERR537701	ERR537706	ERR537722	ERR537749	ERR537664	ERR537747	ERR537692	ERR537640	ERR537708	ERR537763	ERR537764	ERR537740	ERR537663	ERR537717	ERR537733	ERR537758	ERR537734	ERR537710	ERR537658	ERR537656	ERR537775	ERR537672	ERR537751	ERR537684	ERR537683	ERR537756	ERR537675	ERR537719	ERR537651	ERR537714	ERR537678	ERR537730	ERR537737	ERR537713	ERR537655	ERR537776	ERR537671	ERR537752	ERR537687	ERR537739	ERR537680	ERR537755	ERR537676	ERR537771	ERR537652	ERR537639	ERR537726	ERR537698	ERR537769	ERR537702	ERR537705	ERR537721	ERR537669	ERR537667	ERR537744	ERR537691	ERR537643	ERR537760	ERR537767	ERR537644	ERR537696	ERR537743	ERR537728	ERR537660	ERR537638	ERR537653	ERR537770	ERR537677	ERR537681	ERR537754	ERR537738	ERR537753	ERR537686	ERR537670	ERR537777	ERR537654	ERR537712	ERR537688	ERR537736	ERR537731	ERR537679	ERR537715	ERR537661	ERR537729	ERR537697	ERR537742	ERR537766	ERR537761	ERR537642	ERR537745	ERR537690	ERR537666	ERR537668	ERR537720	ERR537704	ERR537703	ERR537768	ERR537699	ERR537727
ERR537662	0.0	0.549266769058	0.560345640792	0.567431657454	0.555237828428	0.551255795573	0.577040754233	0.568025556636	0.559964038165	0.587307629157	0.586564997959	0.686023816721	0.540238467455	0.5546478773	0.569640826651	0.537053198346	0.570531706159	0.592043247947	0.691029123687	0.558826426624	0.570905422418	0.562651025477	0.850169699987	0.778897278846	0.579958082043	0.669392429976	0.550463680949	0.58717539087	0.585620076804	0.667744064677	0.601705743201	0.625760075354	0.546957331199	0.535457930683	0.601499818252	0.577630075926	0.580185152796	0.554286727402	0.624825556705	0.549639967812	0.560311831743	0.581958495685	0.603960527727	0.578701098515	0.613204706461	0.54733539076	0.545176427108	0.590779509793	0.583943279375	0.730885947387	0.559892526846	0.650238027257	0.573190569796	0.553516872826	0.534344713077	0.670065016467	0.538326296375	0.599152818388	0.591711087438	0.571788956002	0.890936735686	0.549626628481	0.569185079968	0.615950302978	0.552833638026	0.534708628994	0.557747462544	0.588012884791	0.566806199438	0.568242272231	0.884106704973	0.539130410696	0.617510892226	0.53736523695	0.572946709645	0.560410052128	0.591001574018	0.540710651511	0.727047234081	0.595401095265	0.603546788924	0.544763004796	0.5376927386	0.618254517841	0.570385596498	0.539549040819	0.560443361083	0.555483935487	0.551027962958	0.54782259945	0.582197371269	0.595088276242	0.547678219734	0.567450054699	0.523799510444	0.55486603571	0.563584665757	0.589723826311	0.567295896674	0.561517046745	0.567918577607	0.756644542583	0.575204849275	0.569662582761	0.637732623704	0.562482236466	0.677397365814	0.572368787775	0.551617112748	0.864350595179	0.569809685625	0.556482391639	0.538682786765	0.662976204402	0.607069784144	0.55906978658	0.557067479841	0.564099682922	0.571952131325	0.588687686685	0.561591909809	0.523826660151	0.554035911867	0.569505536984	0.559020683278	0.559966619101	0.596875671624	0.609902909635	0.552874857025	0.568940327923	0.547061446611	0.601404848809	0.552642838859	0.57417596148
ERR537694	0.549266769058	0.0	0.552527360467	0.565018208114	0.550809195609	0.554218407618	0.579978607457	0.567632138284	0.564289355524	0.59429838947	0.587949584981	0.656701913025	0.528141586831	0.548219474547	0.559515005081	0.525167904401	0.598671828795	0.579696521379	0.650895179459	0.562257746135	0.57400532683	0.560728105926	0.841032293087	0.751522181457	0.58429289644	0.639875566778	0.537041510513	0.622439902463	0.57400599463	0.654273457	0.604766681578	0.602280458058	0.560338916771	0.553416245873	0.558721074235	0.548039156617	0.58641517504	0.580994346075	0.625600361326	0.546686778293	0.576835380013	0.565000344992	0.595197568775	0.590207050939	0.607465505533	0.54620446933	0.547043185424	0.576658600411	0.578074446388	0.699140364503	0.560184121311	0.616704364018	0.564992804886	0.55316965448	0.563888798248	0.670144288552	0.54498076748	0.587292623815	0.58123789944	0.573335467764	0.892406932176	0.590834725273	0.568775853427	0.600101353286	0.561754714979	0.556790640837	0.547393884927	0.590086091298	0.548894874785	0.570623514831	0.876316636342	0.52930795392	0.582757535095	0.571361839339	0.58971446197	0.534831813428	0.565837219953	0.537796088787	0.727979556119	0.584267682604	0.578707869328	0.543260200131	0.541269718538	0.61855748768	0.565307756066	0.527150461356	0.559367434692	0.558458460245	0.551122684846	0.572138932258	0.574449262258	0.598384691556	0.548129101379	0.544075846155	0.561892606261	0.529058227541	0.551110958435	0.56360091077	0.600886526839	0.56114931001	0.59262440972	0.716876189247	0.559717343723	0.572970004005	0.63286183303	0.538084639104	0.654783574242	0.569976170833	0.562993503848	0.85933862699	0.60320614006	0.571216103126	0.523674846745	0.629238459181	0.593657027018	0.570488437318	0.561698784157	0.568430455786	0.559455698963	0.578008278628	0.569810034103	0.533943084694	0.574039868375	0.566225632542	0.570467931692	0.569143313863	0.572592950826	0.602471957059	0.57204619642	0.54733073164	0.533114748488	0.587914461987	0.549813779993	0.585444618335
ERR537741	0.560345640792	0.552527360467	0.0	0.558319412877	0.548453870199	0.571688552926	0.6049585639	0.572320575102	0.552175963664	0.603249019198	0.615621764651	0.702450995012	0.545832441217	0.543836733581	0.574746596308	0.568008740302	0.607734482101	0.579786591623	0.690906720272	0.554453880199	0.613665811766	0.569920810721	0.855488458946	0.780413792234	0.608282052999	0.69181336208	0.553119819042	0.622707566576	0.572766522427	0.685679301373	0.58041885072	0.639536351658	0.575210301167	0.560931729131	0.60757795138	0.524660483483	0.587505893209	0.588171242432	0.639307916891	0.576374182141	0.581715674971	0.603584826207	0.592179138932	0.595496813009	0.629841100423	0.571247330652	0.571158744115	0.601064095514	0.611231016085	0.715011749928	0.550164146868	0.642479814445	0.606231686032	0.565207358601	0.573554975022	0.699081611361	0.56449525442	0.632076261927	0.607641041178	0.576739728612	0.897544038467	0.590395017529	0.518678357306	0.620303727415	0.580730131594	0.572727875743	0.591912272191	0.619695304001	0.599531216047	0.582490276049	0.884956403613	0.579080363704	0.623250794729	0.582864912029	0.575125321114	0.565650628825	0.63152423977	0.563113632901	0.753987886493	0.613261811629	0.593193839786	0.569397372519	0.564679814369	0.614263537518	0.601942629335	0.545390855963	0.514769770186	0.594063570917	0.580848665924	0.578873142481	0.58900569519	0.609316612165	0.576795110718	0.540322535832	0.585597782949	0.54340153083	0.552540695012	0.599605519763	0.603415156692	0.583132454941	0.566645592072	0.754370432233	0.60867143919	0.556298172657	0.676479493337	0.547210200689	0.698302031212	0.594857294113	0.570879170444	0.86529711862	0.587014082137	0.608158371042	0.563212460921	0.662581247425	0.635244437354	0.576192915266	0.575763036389	0.575155365014	0.590932923414	0.613806808329	0.59040219189	0.54838072311	0.543587615095	0.574940638078	0.557476102831	0.573325321465	0.602610557162	0.610540072147	0.578093783304	0.54909809128	0.559149884544	0.597642114438	0.586248667784	0.596315223159
ERR537646	0.567431657454	0.565018208114	0.558319412877	0.0	0.572846811844	0.581010207604	0.594635341305	0.5899512506	0.583876740492	0.599594747686	0.600875990758	0.720885507556	0.543530535256	0.585692799621	0.588068251028	0.549498589481	0.614856587796	0.578234433077	0.718239276025	0.583261814676	0.591060050385	0.575356227801	0.864063262658	0.800176175351	0.608282832405	0.695554221491	0.547206241775	0.600269527358	0.579701094443	0.701511843976	0.609744459536	0.662256069702	0.588443238824	0.60040601594	0.602147895895	0.574842502187	0.599900698733	0.58482602165	0.658099815448	0.583577693257	0.576459764234	0.609695863295	0.60965107606	0.607820191921	0.611411315867	0.593576312374	0.582011829241	0.595107213794	0.624211094719	0.751537552052	0.574923495871	0.664061921343	0.612762804017	0.57382483357	0.537192615384	0.709625960441	0.575079079679	0.657266027705	0.633544382542	0.573485242056	0.906938999026	0.578693040288	0.586387641696	0.607074201606	0.57559345884	0.603907674967	0.612542105195	0.641709334091	0.607049799312	0.58229298095	0.897926192157	0.56273551401	0.640310336949	0.582871101181	0.599738725959	0.583423193712	0.646272966533	0.566650960251	0.777949767723	0.584983125695	0.581350581358	0.584148889141	0.586179647788	0.653332672002	0.579587648423	0.582881915473	0.576794392674	0.582072122981	0.55704938684	0.580498063078	0.602978610269	0.578865459813	0.570504440226	0.560791399368	0.584221859945	0.547480169451	0.568156304435	0.615257946531	0.588084280851	0.555955866914	0.566789044038	0.774026493908	0.61136866079	0.591588307715	0.688854106485	0.575576157574	0.708728318683	0.604814826755	0.574432996984	0.873999085795	0.574013493856	0.589794557879	0.57344273604	0.689391743936	0.657751535201	0.592133465882	0.598347463997	0.579477961457	0.573260058603	0.616522741891	0.610054890199	0.56572680462	0.555379570637	0.56908903271	0.594567151176	0.578736245334	0.613465031153	0.590916735061	0.584472452063	0.612292203388	0.571895420997	0.640897384237	0.577961925075	0.586342852985
ERR537765	0.555237828428	0.550809195609	0.548453870199	0.572846811844	0.0	0.525818171423	0.602972173257	0.558128931188	0.540449156639	0.598455949607	0.610966517181	0.668557189293	0.529015023796	0.540898325614	0.566659086953	0.534629193565	0.586722299851	0.582837941761	0.669700904349	0.545907839491	0.597625812591	0.585458500111	0.83994387212	0.752528402286	0.586669615419	0.650892942688	0.540152537247	0.613968578798	0.547857192972	0.650444147434	0.604488216493	0.61388612183	0.54395416561	0.517232240693	0.567062830722	0.524748916465	0.59385646848	0.573051876743	0.615225080987	0.569264022736	0.579330893867	0.603721079527	0.597457852149	0.590037524688	0.617200909419	0.531036255839	0.554377791927	0.601521442902	0.600097109569	0.700758947373	0.549199943205	0.63614677131	0.58479395205	0.552756241105	0.548587275304	0.674981945537	0.547049980391	0.599989908599	0.618055579795	0.567195201824	0.891823551029	0.589289861875	0.568042300068	0.581357247532	0.576864736952	0.577658812769	0.56919281956	0.611575883448	0.573050684193	0.540830327748	0.873399486464	0.54296329688	0.58908463906	0.575270438123	0.589209882856	0.539123981991	0.591188358372	0.553469486414	0.718264959658	0.589052550836	0.580316082556	0.568146855102	0.562960940238	0.552104989114	0.583426970859	0.527785754444	0.523413728677	0.579830263372	0.572927495257	0.564714656065	0.592142115874	0.612781284467	0.541833204952	0.536884386358	0.570052948493	0.52244020175	0.526918113941	0.578422447644	0.596742631339	0.571723241812	0.559023587224	0.730671684227	0.577045065624	0.568196978571	0.65354742475	0.53926890797	0.667366667103	0.597889611879	0.557917619552	0.846112718431	0.581250534248	0.574410706682	0.556087578497	0.629745081961	0.620892971208	0.565589109597	0.578871474755	0.569898558689	0.55767143284	0.58915453698	0.584123399014	0.533350462423	0.556435022923	0.573749382629	0.543051844527	0.573897917147	0.609693058547	0.610850675786	0.545711218955	0.536965730504	0.536788930895	0.592038585071	0.57459318766	0.590757424173
ERR537762	0.551255795573	0.554218407618	0.571688552926	0.581010207604	0.525818171423	0.0	0.606791097089	0.55737691356	0.542036533995	0.601091112735	0.61597320784	0.692376945711	0.545795305665	0.581721314418	0.585642379805	0.574933170619	0.613098092176	0.560698454899	0.683248488009	0.576522606856	0.604694678676	0.588854028416	0.821343492956	0.724976234063	0.632941009719	0.666279696884	0.519967407602	0.623864115748	0.569099039535	0.684743694184	0.602864283028	0.630655960387	0.571945544211	0.583200038793	0.626669980273	0.557908566434	0.613354251858	0.514158172697	0.622224307305	0.585239292616	0.59167762798	0.618546158219	0.600113205635	0.623321117264	0.637866130185	0.571534697605	0.545845431737	0.607098737023	0.599747643016	0.692080133395	0.588337099842	0.675993662369	0.611621101945	0.572977727044	0.53042109871	0.685847137088	0.546845427351	0.611144624666	0.619648904274	0.589529807128	0.87653384975	0.588925307561	0.554009497418	0.579307192198	0.590190085289	0.577330953421	0.563837864592	0.600415421785	0.599193284788	0.520670707196	0.847694739987	0.554217738221	0.623250525601	0.591799752736	0.598630482489	0.565592215814	0.592027930751	0.537374692312	0.720841879725	0.559840136782	0.607410098142	0.593550663977	0.568148268023	0.569768638675	0.58733426874	0.536321796698	0.519215038169	0.593957687151	0.570871366956	0.582200514521	0.619707461129	0.628682926985	0.566500299891	0.567567102765	0.563395490275	0.556015423846	0.553122707574	0.569742142371	0.589589611273	0.59553378347	0.549346028332	0.716546372734	0.606838682273	0.606562524885	0.647436984911	0.583472424995	0.689740569494	0.600870405247	0.566839825042	0.856828642941	0.574449294158	0.573750212191	0.548536350044	0.607215075629	0.612337314937	0.582962484306	0.59506613197	0.532139022873	0.557749018688	0.623473312731	0.527408536622	0.541012438165	0.553584033026	0.579549333985	0.603596036537	0.581539685539	0.614100245676	0.580515443285	0.580520984488	0.585048311472	0.555812535388	0.598261458166	0.588527217654	0.606448375979
ERR537709	0.577040754233	0.579978607457	0.6049585639	0.594635341305	0.602972173257	0.606791097089	0.0	0.622821073853	0.613293994169	0.605219485156	0.613927150487	0.701726423473	0.585406906367	0.575564816474	0.574498399359	0.588748220095	0.606746514268	0.636327796038	0.707227738067	0.611225258177	0.599254342331	0.588119445172	0.867941408156	0.795918755536	0.610485039761	0.688256682708	0.566994996611	0.613990655326	0.577291619017	0.650010282528	0.642618375256	0.618518192548	0.556050924819	0.594725550219	0.61765754892	0.588331451818	0.591302109704	0.609993038906	0.632485909156	0.57832600907	0.593298166786	0.57442155985	0.634619303823	0.587810837769	0.63019418629	0.597149069703	0.578786427893	0.609221134857	0.603982244194	0.738790093401	0.61141387961	0.677419890744	0.583279039464	0.588280310571	0.585213631114	0.667919531615	0.560143347666	0.642594718411	0.635922167783	0.580310166829	0.910134932111	0.583473076601	0.6100199243	0.639010662147	0.57274452973	0.5910170148	0.592919962473	0.625680614282	0.584629203396	0.59143727744	0.90459001845	0.566970895817	0.625245954872	0.583533431237	0.621190777754	0.619141239056	0.598694423846	0.581383203669	0.757317465374	0.649953606952	0.61194636838	0.570304422501	0.572773810293	0.644306402134	0.580391959462	0.588068330819	0.602650554079	0.588341732835	0.575594301738	0.599295878915	0.587337506242	0.62519398922	0.585284309584	0.568634412428	0.590270079078	0.586630527953	0.596433005084	0.633984729855	0.6114403949	0.594587575395	0.615433036877	0.762920474451	0.599361759309	0.599362712581	0.649813832861	0.598490296852	0.682124940396	0.600784652142	0.591433199839	0.877053663578	0.60166646199	0.581121011738	0.560494530052	0.696227546323	0.640983315609	0.579077659928	0.562287486886	0.600837374691	0.556423865823	0.592641920381	0.615926790129	0.569444528888	0.595005027477	0.594534361669	0.611883435968	0.589857503423	0.616373994957	0.639447196621	0.584876032054	0.624702254556	0.578106572713	0.624990397081	0.58339738466	0.580258429425
ERR537641	0.568025556636	0.567632138284	0.572320575102	0.5899512506	0.558128931188	0.55737691356	0.622821073853	0.0	0.568283043985	0.60107137904	0.615453290228	0.678214723126	0.549219531534	0.562851858127	0.578400524779	0.565106692935	0.596591040064	0.561678547428	0.657828350828	0.576272545989	0.618678498457	0.608625069453	0.833586474852	0.735743308206	0.611578753108	0.642746280913	0.573954560468	0.636867082071	0.583780678717	0.651351762519	0.625756384729	0.626200638914	0.576565748352	0.565821452238	0.587306735981	0.586127841031	0.623944718705	0.615500105113	0.619824130342	0.581790896265	0.603921517771	0.611602000416	0.573768598795	0.613398307264	0.63078913267	0.553650852821	0.571040510795	0.611642730176	0.597480423666	0.670789597179	0.5985910352	0.618459231784	0.597729189324	0.588782693632	0.572299751593	0.664171054931	0.579998119446	0.622513927448	0.603259050053	0.602950527126	0.895262986615	0.603927862658	0.563870076143	0.539612394083	0.603020350447	0.587879098088	0.55189804877	0.585529913791	0.604218250738	0.572653221732	0.879272284495	0.562284173823	0.613334662223	0.570997571303	0.600926459434	0.543698685634	0.586437579347	0.563790085069	0.749048641682	0.581268164233	0.618462599475	0.586799996403	0.551423761694	0.591256435404	0.627677273898	0.53835018634	0.550721297712	0.603527620231	0.603184603042	0.582492208499	0.601350681244	0.630947290471	0.563166981916	0.561673042777	0.550781036485	0.540964197075	0.562516897155	0.59802344124	0.584258782145	0.585335681661	0.586441597762	0.710322562265	0.616478505897	0.597096289445	0.663723609744	0.576336817249	0.670556560417	0.582071144149	0.556450698206	0.846688542227	0.587536375697	0.596342164235	0.586760710853	0.614986242007	0.582153323659	0.616705439012	0.58807598808	0.565697681654	0.573119827409	0.603629040735	0.613206881106	0.551275015474	0.59573376633	0.563738599355	0.602638055152	0.59325920318	0.623655349879	0.607980246236	0.580889635409	0.550905691883	0.542104892927	0.623972716619	0.611597880109	0.60479426262
ERR537746	0.559964038165	0.564289355524	0.552175963664	0.583876740492	0.540449156639	0.542036533995	0.613293994169	0.568283043985	0.0	0.598282943567	0.614960967667	0.67820928482	0.560437815117	0.573088527554	0.58932727989	0.553112829383	0.609704997998	0.551222659996	0.667454431369	0.572201648151	0.630140345776	0.598228034591	0.830344769074	0.740788712302	0.624493388498	0.640474747183	0.546447525185	0.627434263094	0.562865115381	0.663165902746	0.629241850303	0.623418140532	0.575783539546	0.577210979013	0.593942478233	0.564018599896	0.614997384366	0.581355954265	0.610506577087	0.585386041987	0.592466345448	0.605524592829	0.57278521866	0.577757870919	0.63382661433	0.583840437378	0.577695588431	0.608939711052	0.612811238883	0.676046130897	0.566762512241	0.627936512738	0.590992386795	0.569241169486	0.578704420797	0.669559414447	0.585337983524	0.601987574002	0.619829101994	0.596366491254	0.879098110978	0.60843071754	0.556956170731	0.585569696101	0.576611443128	0.58416650788	0.576026624355	0.594533454734	0.576300974796	0.562896812983	0.861462866913	0.579338281989	0.59886854284	0.595780767216	0.576145355344	0.543847712197	0.612491349059	0.573780762018	0.710600205073	0.592032136363	0.588697260942	0.553148160659	0.569254152389	0.597929502581	0.58360355483	0.541686525865	0.55002922788	0.588528424433	0.578883148077	0.582050792517	0.599623801213	0.616761112114	0.579217885435	0.550177107627	0.572886047685	0.556677295771	0.552647259854	0.558149554751	0.585573592904	0.580253906135	0.561755304379	0.706654691483	0.595495185834	0.592403850962	0.651072845559	0.567130610661	0.671151087371	0.587683376099	0.562077011558	0.837148323169	0.57743913207	0.575857552436	0.564371374557	0.633052210753	0.60495231592	0.587961624049	0.571732463944	0.554331034458	0.570042868968	0.608574692777	0.592064699594	0.509928396265	0.566765781438	0.574625007387	0.596041079458	0.579763643324	0.58791754695	0.565359957537	0.595553882892	0.574592136011	0.568232476248	0.592712165421	0.595543142281	0.61725737162
ERR537693	0.587307629157	0.59429838947	0.603249019198	0.599594747686	0.598455949607	0.601091112735	0.605219485156	0.60107137904	0.598282943567	0.0	0.613972504085	0.704425925928	0.562431097026	0.590759216769	0.583900620979	0.589107552124	0.598826334395	0.630194851671	0.68709851753	0.58402299629	0.615824908704	0.61926879224	0.854008037857	0.78092339856	0.613033663453	0.681448599347	0.607106605036	0.63861247834	0.601662900287	0.654411805907	0.641818658497	0.626395023302	0.58978431637	0.582209641385	0.618365797387	0.605038146686	0.608708362535	0.612987916988	0.627384411205	0.599025814211	0.615635086093	0.590088288422	0.644345167738	0.608719734363	0.638801811069	0.590853800213	0.581107938736	0.6272684184	0.607224909538	0.716720467564	0.602956281592	0.664849822066	0.60392677758	0.586795509642	0.601983631209	0.674473078496	0.597739993919	0.635065565316	0.617867882191	0.596903528182	0.900021121343	0.614702733606	0.597691213903	0.631559204443	0.599124633749	0.595163301393	0.594009462285	0.609217189955	0.566888327253	0.596800945474	0.891527749872	0.600050855278	0.614608197081	0.580997915563	0.628476271029	0.57926328515	0.593719164973	0.605156381033	0.752766786233	0.632320576161	0.619776829406	0.593837797493	0.575661164288	0.625031251983	0.595755733386	0.566691004239	0.595922948007	0.598292274059	0.608580026646	0.578476946316	0.591419022443	0.646100791083	0.59965464411	0.601792184582	0.578271175928	0.582132480988	0.589230588637	0.631330711454	0.601099734822	0.596975639174	0.625333718013	0.748449568282	0.624177231871	0.608880563862	0.653782878393	0.594134120582	0.660496421498	0.611627999121	0.569525772143	0.862727825409	0.610760882889	0.567099050856	0.579226864064	0.653024021751	0.626437352768	0.60440710662	0.587340951995	0.617813679711	0.584097568964	0.585471616654	0.624700999532	0.591431331028	0.601919712648	0.595977957449	0.596976451088	0.603567262051	0.615999067804	0.624909210599	0.601672826591	0.589583022462	0.577055342299	0.617014852639	0.609884813231	0.595104793561
